ZE-Name,ZE-Standort,ZE-Kanton,ZE-Status,ZE-Erste Inbetriebnahme,ZE-Kote,ZE-Koordinaten unscharf (Ost),ZE-Koordinaten unscharf (Nord)
Triège (Centrale de pompage),"Salvan, Alpage de Barberine",Wallis,im Normalbetrieb,1978,1908,559720,103940
Val Giuv,Rueras,Graubünden,im Normalbetrieb,1979,1370.49,700400,169740
Grimsel 2,"Grimsel, Chessituren",Bern,im Normalbetrieb,1981,1760,667520,157800
Pont-Neuf,Martigny-Combe,Wallis,im Normalbetrieb,1981,575,570350,102480
Aboyeu,Collonges,Wallis,im Normalbetrieb,1981,450.5,568750,114580
Valeis,Vilters,St.Gallen,im Normalbetrieb,1982,522,752750,209980
Jaun,Jaun,Freiburg,im Normalbetrieb,1982,966.78,587030,161930
Vorderberg,"Buchs, Waldrand",St.Gallen,im Normalbetrieb,1987,1081.23,752220,223950
Zermeiggern (Pumpzentrale),"Saas Almagell, Zermeiggern",Wallis,im Normalbetrieb,1987,1723,640130,103760
St.Sulpice,St.Sulpice,Neuenburg,im Normalbetrieb,1988,750.9,532870,195880
Igiser Mülbach 2 (Landquart 2),Landquart-Fabriken,Graubünden,im Normalbetrieb,1988,520.5,761980,202610
"La Douve, Aigle","Aigle, En la Douve",Waadt,im Normalbetrieb,1989,650,567400,130800
"Widen, Weinfelden","Weinfelden, untere Widen",Thurgau,im Normalbetrieb,1989,417.5,723310,269510
Tiefencastel (ALK),Tiefencastel,Graubünden,im Normalbetrieb,1989,850.9,763840,169970
Ilanz 1,Ilanz,Graubünden,im Normalbetrieb,1990,702,734150,181900
Sufers-Dotieranlage,Sufers,Graubünden,im Normalbetrieb,1990,1360,748800,159200
"Wannebode, Reckingen",Reckingen,Wallis,im Normalbetrieb,1990,1362,662580,146320
Ganterbrücke,Ried-Brig,Wallis,im Normalbetrieb,1990,1369,647940,127560
Bortelalp,Ried-Brig,Wallis,im Normalbetrieb,1990,1968.3,650050,127100
Peccia (Corgello),Piano di Peccia,Tessin,im Normalbetrieb,1991,1036.5,690170,141150
Plancanin,Plancanin,Graubünden,im Normalbetrieb,1991,1986.8,774980,137260
Sella,Motti della Bolla,Tessin,im Normalbetrieb,1991,2139,688040,156330
Chasseras,Müstair/Chasseras,Graubünden,im Normalbetrieb,1991,1278.05,829970,166930
Ilanz 2,Ilanz,Graubünden,im Normalbetrieb,1992,702,734150,181900
Täschbach,Täsch,Wallis,im Normalbetrieb,1992,1475.65,626500,101800
Monthey (Commune),Monthey,Wallis,im Normalbetrieb,1992,431,561890,122140
Champagna 1,Samedan,Graubünden,im Normalbetrieb,1992,1702.3,788270,157460
STEP Vallée Bagnes,"Le Châble, Bagnes",Wallis,im Normalbetrieb,1993,803,581780,103500
Plätz,"Murgtal, Unter Plätz",St.Gallen,im Normalbetrieb,1994,706.69,734320,217230
Baltschieder,Baltschieder,Wallis,im Normalbetrieb,1994,810,633360,128550
Seujet,Genève,Genf,im Normalbetrieb,1994,368.8,499340,117690
Chasura,Strada,Graubünden,im Normalbetrieb,1994,1215,828450,195380
Martina,Martina,Graubünden,im Normalbetrieb,1994,1035.7,830590,196780
Pfungen,Neftenbach,Zürich,im Normalbetrieb,1994,383.5,690550,264110
Gärsterna,Ried-Brig,Wallis,im Normalbetrieb,1995,1150,645860,129600
Empächli,Elm,Glarus,im Normalbetrieb,1995,1440,730980,198240
Brügg,Brügg,Bern,im Normalbetrieb,1995,421.7,586300,218700
Wynau,Oberwynau,Bern,im Normalbetrieb,1996,400,626350,233920
Engstlige,Adelboden,Bern,im Umbau,1996,1135.2,611060,150630
Niollet 2,Orsières,Wallis,im Normalbetrieb,1996,924,577060,96670
Interlaken-Dotierzentrale,Unterseen,Bern,im Normalbetrieb,1996,560.2,631230,170170
Gérignoz (La Pontia),"Château d'Oex, Gérignoz",Waadt,im Normalbetrieb,1996,934.9,579000,146920
Dornachbrugg,Dornach,Solothurn,im Normalbetrieb,1996,278.85,612720,259820
Äsch,Unterschächen,Uri,im Normalbetrieb,1996,1140,704580,191370
Lunschania,"St. Martin, Lunschania",Graubünden,im Normalbetrieb,1996,1042.67,733900,169150
Kandersteg (Dorf),"Kandersteg, Dorf",Bern,im Normalbetrieb,1996,1174.74,618160,149430
Fontanney,"Les Farettes, Aigle",Waadt,im Normalbetrieb,1997,436.5,564980,129620
Industrie,Jenins,Graubünden,im Normalbetrieb,1997,546.8,760950,206850
Juramill,Laufen,Basel-Landschaft,im Normalbetrieb,1997,356.35,604230,251080
Kammri,Wilderswil,Bern,im Normalbetrieb,1998,702.18,631750,167460
Pas-du-Lein,Pas-du Lein,Wallis,im Normalbetrieb,1998,1700,579000,107000
La Rasse,"Evionnaz, La Rasse",Wallis,im Normalbetrieb,1998,636,566840,114520
"Guarda (Ara), Giarsun",Guarda-Giarsun Gmd. Scuol,Graubünden,im Normalbetrieb,1998,1367,806530,183260
Engehalde-Dotierzentrale,Engehalde,Bern,im Normalbetrieb,1998,493.04,600460,201640
Neuewelt,Münchenstein,Basel-Landschaft,im Normalbetrieb,1998,254.6,613790,263910
Bruggmühle,Bremgarten,Aargau,im Normalbetrieb,1998,359.5,668050,244710
Mühlenplatz,Luzern,Luzern,im Normalbetrieb,1998,431.69,665600,211550
Amsteg-Regulierzentrale,Amsteg,Uri,im Normalbetrieb,1998,510,694010,181170
Amsteg-Dotierzentrale,"Wassen, Pfaffensprung",Uri,im Normalbetrieb,1998,779.3,689640,174440
Geissbrunnen,Saxeten,Bern,im Normalbetrieb,1999,1166.2,629970,164200
Stollen,Kriens/Obernau,Luzern,im Normalbetrieb,1999,650.67,660700,209500
Bieudron,Riddes,Wallis,im Normalbetrieb,1999,481,585550,114630
Wannenfluh,Rüderswil,Bern,im Normalbetrieb,1999,599.4,621550,205180
Ferrera,Trun,Graubünden,im Normalbetrieb,1999,871.25,718280,178090
Sainte - Anne,Grandvillard,Freiburg,im Normalbetrieb,1999,784,573100,153820
Ruppoldingen,Boningen,Solothurn,im Normalbetrieb,2000,398,633200,240250
Kalter Brunnen,Tscherggen,Wallis,im Normalbetrieb,2000,750.25,629080,129070
"Piumogna, Dalpe",Dalpe,Tessin,im Normalbetrieb,2000,1160.86,702000,147000
"Les Rochers, Savièse",Savièse,Wallis,im Normalbetrieb,2001,1084,593360,123550
Beznau-Wehrkraftwerk,Döttingen,Aargau,im Normalbetrieb,2001,312.8,659330,266890
"Bannwald (Altdorf, WVA)",Altdorf,Uri,im Normalbetrieb,2002,562.25,691740,193560
Campo Vallemaggia,Campo Vallemaggia,Tessin,im Normalbetrieb,2002,1032.7,682460,126550
Mutt,Zermatt,Wallis,im Normalbetrieb,2002,1629,623230,95590
Au-Schönenberg,Schönenberg an der Thur,Thurgau,im Normalbetrieb,2002,446.7,731650,265160
Hackeren,Lungern,Obwalden,im Normalbetrieb,2003,697,654760,181210
La Zour,Savièse,Wallis,im Normalbetrieb,2004,1371,593390,124790
Cerentino,"Cerentino, Collinasca",Tessin,im Normalbetrieb,2004,792.3,685740,128960
1er Palier Isérables c. Arcay,Isérables,Wallis,im Normalbetrieb,2005,1237.4,585340,112180
Le Châtelot-Centr. de dotation,Les Planchettes,Neuenburg,im Normalbetrieb,2005,657.79,547300,216950
Torrent de Soi,"La Frassenaye, Val d'Jlliez",Wallis,im Normalbetrieb,2005,902,557720,115100
"Obflue, Sachseln","Sachseln, Obflue",Obwalden,im Normalbetrieb,2005,575,660310,189850
Rossens-Centr. de dotation 2,Rossens,Freiburg,im Normalbetrieb,2005,610,575060,174130
Sous les Roches,Sonceboz,Bern,im Normalbetrieb,2005,626.2,580700,226550
Turtig,Raron,Wallis,im Normalbetrieb,2007,650,627370,127820
Stäubenwald,Gurtnellen,Uri,im Normalbetrieb,2007,764,690330,175900
Wettingen-Dotierzentrale,Wettingen,Aargau,im Normalbetrieb,2007,361.5,666570,256550
Dardin (Casut),"Dardin, Casut",Graubünden,im Normalbetrieb,2008,987.8,723100,179730
Tatz,Niedergesteln,Wallis,im Normalbetrieb,2008,1576,626860,130800
Niedergesteln,Niedergesteln,Wallis,im Normalbetrieb,2008,750,626770,129260
"La Petite Vaux,  Lavigny",Lavigny,Waadt,im Normalbetrieb,2008,415,520640,149140
Burentobel,St. Gallen,St.Gallen,im Normalbetrieb,2008,570.1,743570,253780
Ri di Foch 2 Prato (Leventina)," Prato Leventina, P. di Masc.",Tessin,im Normalbetrieb,2008,1065,700510,148490
"Engi, Vorderdorf (Mühlebach)","Engi, Vorderdorf (Glarus Süd)",Glarus,im Normalbetrieb,2009,810.45,730350,205190
Vollèges-Cries,Vollèges,Wallis,im Normalbetrieb,2009,980,579830,104700
"Croseau, Saint-Gingolph","Saint-Gingolph, Vignolles",Wallis,im Normalbetrieb,2009,487,551320,137570
Nufenen,Nufenen,Graubünden,im Normalbetrieb,2009,1622,738770,156240
"Oberems (Gemeinde), Borterbach",Oberems,Wallis,im Normalbetrieb,2009,1575,620880,121880
Albbruck-Wehrkraftwerk,Leibstadt,Aargau,im Normalbetrieb,2009,303.3,655130,272150
Chriz,"Niedergesteln, Turtig",Wallis,im Normalbetrieb,2009,650,627140,127880
"Kandersteg (Eggeschwand), Alpb","Kandersteg, Eggeschwand",Bern,im Normalbetrieb,2009,1198,617010,147110
Tierfehd (Umwälzwerk),"Linthal, Tierfehd",Glarus,im Normalbetrieb,2010,778.43,717880,193120
Törbel (Gappil),"Törbel, Gappil",Wallis,im Normalbetrieb,2010,1400,631630,120450
Arbaz I (Comba Energies),Arbaz,Wallis,im Normalbetrieb,2010,1030,595390,124090
Mesocco (Nan Ros),"Mesocco, Camou",Graubünden,im Normalbetrieb,2010,1300,738050,142500
"Pedecosta, Poschiavo","San Carlo, Pedecosta",Graubünden,im Normalbetrieb,2010,1191.6,802930,137440
Tarasp (Ischla),Tarasp,Graubünden,im Normalbetrieb,2010,1180.05,817190,186020
"Sot Ruinas, Susch",Susch,Graubünden,im Normalbetrieb,2010,1412.7,802080,181630
Wiler (Milibach),Wiler (Lötschen),Wallis,im Normalbetrieb,2010,1418.9,626980,139570
Schattenhalb 3,Schattenhalb,Bern,im Normalbetrieb,2010,601,657030,174520
Breite Stäg,Unterbäch,Wallis,im Normalbetrieb,2010,1710,626440,123890
"Flims, Felsbach (Karstwasser)",Flims,Graubünden,im Normalbetrieb,2011,851.07,743340,188710
"Flims, Felsbach (Bergwasser)",Flims,Graubünden,im Normalbetrieb,2011,851.07,743340,188710
Rheinfelden-Dotierzentrale,Rheinfelden,Aargau,im Normalbetrieb,2011,264.2,628170,268750
Nandrò,Riom - Parsonz,Graubünden,im Normalbetrieb,2011,1715.7,763410,159650
Thurfeld,Schönenberg,Thurgau,im Normalbetrieb,2011,446.39,733190,264670
Walzmühle 2,"Ennenda, Alpenbrüggli",Glarus,im Normalbetrieb,2011,468.5,723740,212210
Taschinas,Seewis,Graubünden,im Normalbetrieb,2011,640.8,767830,205890
Ettisbühl,Malters,Luzern,im Normalbetrieb,2011,501.2,655250,209950
Punt Gronda (Segnas),Flims,Graubünden,im Normalbetrieb,2012,1300.6,739320,189100
Punt Gronda (Platt Alva),Flims,Graubünden,im Normalbetrieb,2012,1300.6,739320,189100
"Schlossmühle, Frauenfeld","Frauenfeld, Schlossmühlestr.",Thurgau,im Normalbetrieb,2012,406,709840,268040
Seedorf (Bolzbach) Chuchibachq,Seedorf,Uri,im Normalbetrieb,2012,436.7,687990,194880
Charmey (La Tzintre),"Charmey, La Tzintre",Freiburg,im Normalbetrieb,2012,855,579950,162320
Sauterôt (Hérémence FMdB),Hérémence,Wallis,im Normalbetrieb,2012,916.95,597620,113250
Fiesch,Fiesch,Wallis,im Normalbetrieb,2012,1001,653490,138580
Splügen (Tambobach),Splügen,Graubünden,im Normalbetrieb,2012,1469.95,743500,156670
"Engi, Hinterdorf (Sernf)",Engi (Glarus Süd),Glarus,im Normalbetrieb,2012,795.2,730910,204030
Fafleralp,Blatten,Wallis,im Normalbetrieb,2012,1639.78,631290,142120
Icogne,Icogne,Wallis,im Normalbetrieb,2012,923.5,599990,128280
Ossasco,"Bedretto, Ossasco",Tessin,im Normalbetrieb,2012,1311.1,684400,151850
Punt Gronda (Tarschlims),Flims,Graubünden,im Normalbetrieb,2013,1300.6,739320,189100
Lüen (Sagenbach),"Lüen, Tewald",Graubünden,im Normalbetrieb,2013,772.09,765360,188650
Unteraa (Melchaa),Giswil,Obwalden,im Normalbetrieb,2013,481.5,656150,185850
"Walibach, Grafschaft",Grafschaft,Wallis,im Normalbetrieb,2013,1291,659660,144830
Gantergrund Nessel u.Mittubäch,Ried-Brig,Wallis,im Normalbetrieb,2013,1070,645170,126600
Les Afforêts-Leytron,Leytron,Wallis,im Normalbetrieb,2013,648,581560,115550
Chancy-Pougny Dot. passe pois.,Challex,,im Normalbetrieb,2013,336,486880,113040
Buoholzbach,"Wolfenschiessen, Flüglisloo",Nidwalden,im Normalbetrieb,2013,499,673150,197780
Dornbach (Ferden),Ferden,Wallis,im Normalbetrieb,2013,1370,624490,137810
Aue-Dotierzentrale,Baden,Aargau,im Normalbetrieb,2013,353.2,665570,257890
Vernayaz (STE SV SA),Vernayaz,Wallis,im Normalbetrieb,2013,658,568780,109230
Moulinets sur l'Orbe,Orbe,Waadt,im Normalbetrieb,2013,442.13,530710,174820
Schiffmühle - Dotierzentrale,"Untersiggenthal, Schiffmüli",Aargau,im Normalbetrieb,2013,335.15,662630,259960
Pont de la Tine  Coussy-Loudze,"Ormont - Dessous, Le Pont",Waadt,im Normalbetrieb,2013,816,569630,132970
Morgental,Steinach,St.Gallen,im Normalbetrieb,2014,400.5,749870,262990
Châble II,"Vionnaz, Beffeux",Wallis,im Normalbetrieb,2014,471,558250,128640
Pradella Wehr-Dotierzentrale,Scuol,Graubünden,im Normalbetrieb,2014,1134,820580,187830
Bachtoly,Eischoll,Wallis,im Normalbetrieb,2014,1260,626230,126860
Lauenen (Louibach),Lauenen bei Gstaad,Bern,im Normalbetrieb,2014,1195,590750,141430
Rüchlig-Dotierzentrale,Aarau,Aargau,im Normalbetrieb,2014,362.5,646320,249990
Ulrichen,"Ulrichen, zum Loch",Wallis,im Normalbetrieb,2014,1360.5,667540,150580
"Les Pontets, Riddes","Les Pontets, Riddes",Wallis,im Normalbetrieb,2014,1748,585540,108710
Tasnan,Ardez,Graubünden,im Normalbetrieb,2014,1252,812810,184500
Boudry (les Essert),Boudry,Neuenburg,im Normalbetrieb,2014,443.1,554650,200150
"Brummbach, Braunwald",Braunwald,Glarus,im Normalbetrieb,2014,1265,717590,199770
Ryburg-Schwörstadt Lockstromz.,"Schwörstaddt, KW Ryburg-Schw.",,im Normalbetrieb,2014,270.19,629740,270820
Lavin Prà da Plaiv (Lavinuoz),Lavin,Graubünden,im Normalbetrieb,2014,1380,804340,183240
"Siwibach (Eisten, VS)","Eisten, VS",Wallis,im Normalbetrieb,2014,1552,636480,114360
Rivaz (Le Forestay),Rivaz,Waadt,im Normalbetrieb,2014,375,549240,147250
Hagneck 2 (M 1 u. M 2),Hagneck,Bern,im Normalbetrieb,2015,429.9,580200,212100
"Uznaberg, Uznach",Uznach,St.Gallen,im Normalbetrieb,2015,424.5,715530,232260
Jungbach (St. Niklaus),St. Niklaus,Wallis,im Normalbetrieb,2015,1259,628190,115190
Neuägeri,"Neuägeri, Gmde Menzingen",Zug,im Normalbetrieb,2015,683.4,685270,223040
"Badhalte, Brig-Glis","Badhalte, Brig-Glis",Wallis,im Normalbetrieb,2015,663.2,638590,128270
Mossjesee,"Mossjesee, Zermatt",Wallis,im Normalbetrieb,2015,2100,626350,95450
"Zer Niwu Schiir, Mund","Mund, In de Fäldu (Gem.Naters)",Wallis,im Normalbetrieb,2015,1100,639060,129330
Sigirino (Monteceneri),Sigirino (Monteceneri),Tessin,im Normalbetrieb,2015,520,714020,103950
"Reserv. de Péteille, Vétroz","Vétroz, Péteille",Wallis,im Normalbetrieb,2015,574.4,587240,119510
Arbaz II (Sionne Energie),Savièse,Wallis,im Normalbetrieb,2015,603,594180,121670
"Dünnern, Olten",Olten,Solothurn,im Normalbetrieb,2015,385,634760,244300
Hard Wülflingen,"Hard, Wülflingen in Winterthur",Zürich,im Normalbetrieb,2015,400.63,693030,263750
Limmern,"Linthal, Ochsenstafel",Glarus,im Normalbetrieb,2016,1706.4,720030,189850
"Chräjubiel, Ried-Brig",Ried-Brig,Wallis,im Normalbetrieb,2016,1038,644640,128500
"2ème Palier Isérables, Riddes",Riddes,Wallis,im Normalbetrieb,2016,549,583770,113070
"Lochmedli, Guttannen","Guttannen, Blatti",Bern,im Normalbetrieb,2016,1303.5,665290,168610
"Färmelbach, St. Stephan","St. Stephan, Matten",Bern,im Normalbetrieb,2016,1023,598540,149240
Vernayaz (Pissevache),Vernayaz,Wallis,im Normalbetrieb,2016,590,568210,110370
"Niderbach, Münster-Geschinen","Wiler, Münster-Geschinen",Wallis,im Normalbetrieb,2016,1387,665430,150520
"Mulegn, Tinizong-Rona",Tinizong-Rona,Graubünden,im Normalbetrieb,2016,1227.2,767350,160740
"La Serrière, Neuchâtel","La Serrière, Neuchâtel",Neuenburg,im Normalbetrieb,2016,433.62,559380,203550
Holenstein Wehrkraftw. Glarus,"Mitlödi, Gmde. Glarus Süd",Glarus,im Normalbetrieb,2016,479.5,724570,210130
"Rufi, Hätzingen",Hätzingen,Glarus,im Normalbetrieb,2016,558.95,721270,202100
Mitlödi (Seidendruckerei),Mitlödi (Glarus Süd),Glarus,im Normalbetrieb,2016,492.35,725150,208020
Bürglen (Kanalkraftwerk),Bürglen,Thurgau,im Normalbetrieb,2016,443.9,729780,267220
"La Delise, Bourg-Saint-Pierre","Bourg-St-Pierre, La Delise",Wallis,im Normalbetrieb,2016,1980,582970,88360
Laubegg (Garstatt),"Boltigen, Garstatt",Bern,im Normalbetrieb,2016,857.4,595600,159650
"Müliacher, Steinen","Steinen, Müliacher",Schwyz,im Normalbetrieb,2016,500.3,689320,212090
"Broglio, com. Lavizarra","Broglio, Corsgèla in Lavizarra",Tessin,im Normalbetrieb,2016,703.75,694460,137360
Kembs-Centrale de dotation 2,Barrage de Kembs,,im Normalbetrieb,2016,234,609760,274340
"Schattigmatt, Bristen",Bristen,Uri,im Normalbetrieb,2016,828.5,697190,180270
"Simelemoos, St. Stephan",St. Stephan,Bern,im Normalbetrieb,2016,996.47,597300,150380
"Gohlhaus, Lützelflüh","Gohlhusbrügg, Lützelflüh",Bern,im Normalbetrieb,2016,586.3,619280,205780
Innertkirchen 3,"Innertkirchen, Underürbach",Bern,im Normalbetrieb,2016,650.45,660620,172030
Schattenhalb 1+,Schattenhalb,Bern,im Normalbetrieb,2017,597.1,657070,174500
Gletsch-Oberwald,"Oberwald, St. Niklaus",Wallis,im Bau,2017,1456,670660,154830
Verdan,Fully,Wallis,im Normalbetrieb,2017,496.74,575160,110200
"Les Garettes, Fully","Fully, Les Garettes",Wallis,im Normalbetrieb,2017,1552,574250,112070
Madonna degli Angeli,Giubiasco,Tessin,im Bau,2017,380,722270,115070
"Spiggenbach, Reichenbach","Reichenbach, Losplatte",Bern,im Normalbetrieb,2017,960,622690,158440
"Cotlan, Rüti ","Rüti, Gmde Glarus Süd",Glarus,im Normalbetrieb,2017,618.45,719730,199250
Eaux des torrent de Verbier,"Le Châble, Profray, Com.Bagnes",Wallis,im Normalbetrieb,2017,802,581670,103540
"St. Joseph, Obersaxen","Obersaxen, St. Joseph",Graubünden,im Normalbetrieb,2017,1203.3,724790,178750
Molino,"Promontogno, Gmde. Bregaglia",Graubünden,im Normalbetrieb,2017,811.2,763070,134190
Realp II,Realp,Uri,im Normalbetrieb,2017,1579,681010,160190
Grimsel Nollen,"Guttannen, Spitelnollen",Bern,im Normalbetrieb,2017,1814.4,668460,158220
"Alp Trida-Laret, Samnaun",Samnaun-Compatch,Graubünden,im Normalbetrieb,2017,1679,825350,205080
"Grafenau, St. Gallen","St. Gallen, Grafenau",St.Gallen,im Bau,2018,570.35,743090,253590
"Fellitobel, Gurtnellen",Gurtnellen,Uri,im Bau,2018,364,692180,177260
"Mühlebach II, Engi","Engi, Unter Engi",Glarus,im Bau,2018,767.5,729680,205210
Mitlödi (Föhnen/Sool),Mitlödi,Glarus,im Bau,2018,532.8,725110,207800
Mädems-Parmort,Mels,St.Gallen,im Bau,2018,1060,746510,212830
Chrizji Vispenterminen,"Vispenterminen, Chrizji",Wallis,im Bau,2018,1134.5,635370,124050
"Stundhüs, Vispenterminen","Vispenterminen, Stundhüs",Wallis,im Bau,2018,674,634080,124050
Crans-Montana,"Crans-Montana, R. Bourgeoisie",Wallis,im Bau,2018,1417.65,601420,128230
"Le Bruet, Ollon","Ollon, Bruet",Waadt,im Bau,2018,395,564770,126650
Eaux du torrent du Fossau,Vouvry,Wallis,im Bau,2018,465.69,557100,131790
Borgnone,Palagnedra,Tessin,im Bau,2018,479.5,691900,112850
Ovella Dotierzentr. Nauders ,"Nauders, A",,im Bau,2018,1010,831490,199390
Krafthaus Prutz / Ried,Prutz,,im Bau,2018,865.5,844830,217360
Churwalden,"Churwalden, Bärgliwäg",Graubünden,im Bau,2019,1255,760900,182650
"Weissenstein, Mels","Mels, Plons",St.Gallen,im Bau,2019,1065,746650,212980
Chapfensee,"Mels, Plons",St.Gallen,im Bau,2019,1031.5,747230,212620
"Eggi, Walenstadt",Walenstadt,St.Gallen,im Bau,2019,673.6,745900,218950
"Breithorn, Blatten",Blatten,Wallis,im Bau,2019,1780,632540,143040
Nant de Drance,Finhaut,Wallis,im Bau,2019,1693.9,558420,101760
Oberwald,Oberwald,Wallis,im Bau,2020,1390,670540,153840